標題,簡介,完整介紹,日期,地點,圖片,標籤,價格,適合年齡,時長,導覽類型,環境,主辦單位,活動連結
舊城區徒步導覽,探索舊城區的隱秘巷弄與歷史建築,加入我們兩小時的舊城區徒步導覽。我們將參觀最古老的市場、城牆，並了解塑造這座城市的傳說。非常適合歷史愛好者和攝影迷。,2024-01-15,台北,old_town.png,"History,Architecture",250,"junior,senior,adult",2hr,"scheduled,group",outdoor,文化探索官方,#
博物館之夜,國立歷史博物館的特別夜間參觀活動,體驗前所未有的博物館之旅。包含特別燈光秀與古代文物導覽。附贈博物館咖啡廳飲品一杯。,2024-01-20,台北,museum_night.png,"History,Civics",150,"elementary,junior,senior,adult",1.5hr,scheduled,indoor,文化探索官方,#
傳統茶道體驗,學習傳統製茶與泡茶的藝術,沉浸在傳統茶館的寧靜氛圍中。茶道大師將帶領您了解茶道的歷史與儀式。您將品嚐三種頂級茶葉。,2024-01-22,台北,tea_ceremony.png,"Food,Religion",400,"senior,adult",1hr,group,indoor,文化探索官方,#
寺廟建築巡禮,探索古老寺廟的建築奇蹟,專注於城市著名寺廟建築風格與建造技術的導覽。了解雕刻背後的象徵意義與古人的結構智慧。,2024-01-25,台中,temple_detail.png,"Architecture,Religion",300,"junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
書法藝術工作坊,親手學習傳統書法的實作工作坊,拿起毛筆，學習傳統書法的基礎。我們的專家導師將教您如何書寫您的名字和簡單語句。提供所有材料，您可以將作品帶回家。,2024-01-28,台北,calligraphy.png,"Literature,History",350,"elementary,junior,senior,adult",1.5hr,group,indoor,文化探索官方,#
民謠音樂會,傳統民謠音樂的現場演出,享受由在地藝術家帶來的傳統民謠之夜。音樂會將使用傳統樂器演奏講述地區歷史故事的歌曲。,2024-02-01,台南,folk_music.png,"History,Literature",200,"elementary,junior,senior,adult",2hr,scheduled,indoor,文化探索官方,#
夜市美食探索,品嚐台灣最道地的夜市小吃,跟隨在地美食專家探索最受歡迎的夜市。品嚐10種以上的經典小吃，了解每道料理背後的故事。,2024-02-05,台北,default.png,"Food,Business",450,"junior,senior,adult",3hr,group,outdoor,文化探索官方,#
古蹟攝影工作坊,學習如何拍攝歷史建築的技巧,專業攝影師帶領您探訪城市最美的古蹟，教授構圖、光線運用等攝影技巧。適合攝影愛好者。,2024-02-08,台北,default.png,"History,Architecture",500,"senior,adult",3hr,group,outdoor,文化探索官方,#
傳統工藝體驗,親手製作傳統手工藝品,在工藝大師的指導下，學習製作傳統陶瓷或木雕。完成的作品可以帶回家作為紀念。,2024-02-12,台中,default.png,"History,Business",600,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
生態導覽,探索城市中的自然生態,跟隨生態專家探訪城市公園和濕地，觀察鳥類、昆蟲和植物。適合親子同遊。,2024-02-15,台北,default.png,Ecology,280,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
咖啡文化之旅,深入了解台灣的咖啡文化,參訪精品咖啡館，學習咖啡豆的選擇、烘焙和沖煮技巧。品嚐多種單品咖啡。,2024-02-18,台北,default.png,"Food,Business",380,adult,2hr,group,indoor,文化探索官方,#
老街漫步,漫遊充滿歷史韻味的老街,探訪保存完好的老街區，了解傳統建築特色和商業文化。品嚐老字號美食。,2024-02-20,台南,default.png,"History,Food",320,"elementary,junior,senior,adult",2.5hr,scheduled,outdoor,文化探索官方,#
劇場導覽,認識台灣的表演藝術,參觀知名劇場的後台，了解舞台設計、燈光音響等專業知識。有機會觀賞排練。,2024-02-22,台北,default.png,"Literature,Civics",400,"junior,senior,adult",2hr,scheduled,indoor,文化探索官方,#
登山健行,挑戰城市周邊的登山步道,由專業嚮導帶領，攀登風景優美的山徑。欣賞壯麗的城市全景。,2024-02-25,台北,default.png,Ecology,350,"senior,adult",4hr,group,outdoor,文化探索官方,#
傳統市場導覽,體驗最道地的市場文化,跟隨在地人逛傳統市場，認識各種食材和烹飪文化。品嚐市場美食。,2024-02-28,台中,default.png,"Food,Business",280,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
建築美學講座,深入淺出的建築藝術課程,由建築師主講，介紹台灣建築的演變和特色。包含實地參訪經典建築。,2024-03-02,台北,default.png,"Architecture,Civics",450,"senior,adult",3hr,scheduled,indoor,文化探索官方,#
手作烘焙課程,學習製作傳統糕點,在專業烘焙師的指導下，製作鳳梨酥、綠豆糕等傳統點心。可將成品帶回家。,2024-03-05,台北,default.png,Food,550,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
河岸單車遊,騎乘單車探索河濱風光,沿著河岸自行車道騎行，欣賞河岸景色和城市天際線。適合全家同遊。,2024-03-08,台北,default.png,Ecology,250,"elementary,junior,senior,adult",3hr,group,outdoor,文化探索官方,#
陶藝工作坊,體驗拉坯和手捏陶藝,在陶藝老師的指導下，學習基本的陶藝技巧。作品燒製完成後可取回。,2024-03-12,台北,default.png,"History,Business",650,"junior,senior,adult",3hr,group,indoor,文化探索官方,#
文學散步,走訪作家筆下的城市場景,跟隨文學導覽員，探訪知名作家作品中的場景。分享文學故事和創作背景。,2024-03-15,台北,default.png,"Literature,History",320,"senior,adult",2hr,scheduled,outdoor,文化探索官方,#
港口巡禮,認識台灣的海洋文化,參觀漁港和海洋博物館，了解漁業發展和海洋生態。品嚐新鮮海產。,2024-03-18,台南,default.png,"History,Ecology",380,"elementary,junior,senior,adult",3hr,scheduled,outdoor,文化探索官方,#
傳統音樂欣賞,聆聽南管北管的優美樂音,欣賞傳統音樂演出，了解樂器特色和音樂文化。由音樂家現場解說。,2024-03-20,台南,default.png,"History,Literature",300,"junior,senior,adult",1.5hr,scheduled,indoor,文化探索官方,#
城市天際線攝影,捕捉城市最美的瞬間,在攝影師帶領下，前往最佳拍攝點捕捉日落和夜景。學習長曝光技巧。,2024-03-22,台北,default.png,History,480,"senior,adult",3hr,group,outdoor,文化探索官方,#
有機農場體驗,親近土地的農耕體驗,參訪有機農場，了解永續農業。親手採摘蔬果，享用農場餐點。,2024-03-25,台中,default.png,"Ecology,Food",420,"elementary,junior,senior,adult",4hr,group,outdoor,文化探索官方,#
古琴雅集,體驗古琴的優雅韻味,在古琴老師的指導下，學習基本指法。欣賞古琴演奏，品茗談藝。,2024-03-28,台北,default.png,"Literature,Religion",500,adult,2hr,group,indoor,文化探索官方,#
街頭藝術導覽,發現城市中的塗鴉藝術,由藝術家帶領，探訪城市各處的街頭藝術作品。了解創作理念和技法。,2024-04-01,台北,default.png,"Literature,Civics",280,"junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
禪修體驗,在寺院中體驗禪修靜心,由法師指導，學習坐禪和行禪。體驗寺院生活，享用素齋。,2024-04-05,台北,default.png,Religion,350,adult,3hr,group,indoor,文化探索官方,#
釀酒工坊,了解台灣的釀酒文化,參觀酒廠，了解釀造過程。品嚐多款特色酒品，學習品酒知識。,2024-04-08,台中,default.png,"Food,Business",550,adult,2.5hr,group,indoor,文化探索官方,#
星空觀測,在無光害的地方仰望星空,由天文專家帶領，使用望遠鏡觀測星體。學習辨識星座和天文知識。,2024-04-12,台北,default.png,Ecology,400,"elementary,junior,senior,adult",3hr,scheduled,outdoor,文化探索官方,#
傳統戲曲欣賞,認識歌仔戲和布袋戲,觀賞傳統戲曲演出，了解劇情和表演特色。有機會體驗戲服和道具。,2024-04-15,台南,default.png,"Literature,History",320,"elementary,junior,senior,adult",2hr,scheduled,indoor,文化探索官方,#
香料植物園,認識各種香料植物,參訪香料園，了解香料的種植和用途。DIY製作香料包帶回家。,2024-04-18,台中,default.png,"Ecology,Food",380,"junior,senior,adult",2hr,group,outdoor,文化探索官方,#
版畫工作坊,學習傳統版畫技藝,在版畫家指導下，學習木刻和印刷技巧。完成自己的版畫作品。,2024-04-20,台北,default.png,"Literature,History",480,"senior,adult",3hr,group,indoor,文化探索官方,#
老樹巡禮,探訪城市中的百年老樹,由樹木專家帶領，認識珍貴的老樹。了解樹木的歷史和生態價值。,2024-04-22,台北,default.png,"Ecology,History",250,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
皮革工藝,手作皮革小物,學習基本的皮革工藝技巧。製作鑰匙圈、卡夾等實用小物。,2024-04-25,台北,default.png,Business,600,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
溫泉文化體驗,認識台灣的溫泉文化,參訪溫泉區，了解溫泉的形成和特色。享受溫泉浴和在地美食。,2024-04-28,台北,default.png,"History,Ecology",650,adult,4hr,group,outdoor,文化探索官方,#
茶園導覽,探訪高山茶園,前往茶園了解茶葉種植和製作過程。品嚐高山茶，欣賞茶園風光。,2024-05-02,台中,default.png,"Food,Ecology",520,"junior,senior,adult",3.5hr,group,outdoor,文化探索官方,#
剪紙藝術,學習傳統剪紙技藝,在剪紙藝術家指導下，學習各種剪紙技法。創作自己的剪紙作品。,2024-05-05,台北,default.png,"Literature,History",320,"elementary,junior,senior,adult",2hr,group,indoor,文化探索官方,#
古道健行,走訪歷史悠久的古道,由嚮導帶領，探索古道遺跡。了解古道的歷史和生態環境。,2024-05-08,台北,default.png,"History,Ecology",380,"senior,adult",4hr,group,outdoor,文化探索官方,#
玻璃工藝,體驗玻璃吹製的樂趣,在工藝師指導下，學習玻璃吹製技巧。製作玻璃飾品或器皿。,2024-05-12,台中,default.png,Business,700,adult,2.5hr,group,indoor,文化探索官方,#
鳥類觀察,認識城市中的野鳥,由鳥類專家帶領，使用望遠鏡觀察各種鳥類。學習鳥類辨識和生態知識。,2024-05-15,台北,default.png,Ecology,300,"elementary,junior,senior,adult",3hr,scheduled,outdoor,文化探索官方,#
染布工作坊,學習天然染布技藝,使用植物染料，學習紮染和浸染技法。製作獨一無二的染布作品。,2024-05-18,台北,default.png,"History,Business",450,"junior,senior,adult",3hr,group,indoor,文化探索官方,#
漁村體驗,體驗漁村的生活文化,參訪漁村，了解漁業文化。體驗撈魚、曬魚等活動，品嚐海鮮料理。,2024-05-20,台南,default.png,"History,Food",480,"elementary,junior,senior,adult",4hr,group,outdoor,文化探索官方,#
香道體驗,認識傳統香道文化,學習品香的方法和禮儀。了解香料的種類和用途，體驗香道之美。,2024-05-22,台北,default.png,"Religion,History",550,adult,2hr,group,indoor,文化探索官方,#
蝴蝶生態,探索蝴蝶的奇妙世界,參訪蝴蝶園，觀察蝴蝶的生命週期。了解蝴蝶與植物的共生關係。,2024-05-25,台北,default.png,Ecology,280,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
金工體驗,打造專屬的金屬飾品,學習基本的金工技巧。製作戒指、手環等金屬飾品。,2024-05-28,台北,default.png,Business,750,"senior,adult",3hr,group,indoor,文化探索官方,#
濕地生態,認識濕地的生態系統,由生態專家帶領，探訪濕地保護區。觀察水鳥和濕地植物。,2024-06-01,台北,default.png,Ecology,320,"elementary,junior,senior,adult",2.5hr,scheduled,outdoor,文化探索官方,#
竹編工藝,學習傳統竹編技術,在竹編師傅指導下，學習編織技巧。製作竹籃或竹器。,2024-06-05,台中,default.png,"History,Business",420,"junior,senior,adult",3hr,group,indoor,文化探索官方,#
地質探索,認識台灣的地質奇觀,由地質專家帶領，探訪特殊地質景觀。了解地質形成和演變。,2024-06-08,台北,default.png,"Ecology,History",380,"senior,adult",3.5hr,scheduled,outdoor,文化探索官方,#
木工工作坊,手作木製家具小物,學習基本木工技巧。製作木盒、木筷等實用木製品。,2024-06-12,台北,default.png,Business,650,"junior,senior,adult",3hr,group,indoor,文化探索官方,#
螢火蟲觀察,在夜晚尋找螢火蟲的蹤跡,前往螢火蟲棲地，觀察螢火蟲的生態。了解環境保護的重要性。,2024-06-15,台北,default.png,Ecology,350,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
藍染體驗,學習傳統藍染工藝,使用天然藍靛染料，學習染布技法。製作藍染布巾或衣物。,2024-06-18,台北,default.png,"History,Business",480,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
岩岸生態,探索海岸的潮間帶,在海洋專家帶領下，觀察潮間帶生物。了解海洋生態和保育。,2024-06-20,台北,default.png,Ecology,320,"elementary,junior,senior,adult",3hr,scheduled,outdoor,文化探索官方,#
編織工藝,學習傳統編織技術,在編織老師指導下，學習織布或編織技巧。製作編織作品。,2024-06-22,台中,default.png,"History,Business",520,"junior,senior,adult",3hr,group,indoor,文化探索官方,#
植物染料,認識天然染料植物,參訪染料植物園，了解各種染料植物。萃取染料並進行染色實驗。,2024-06-25,台北,default.png,"Ecology,History",380,"junior,senior,adult",2.5hr,group,outdoor,文化探索官方,#
石雕體驗,學習石雕的基本技法,在石雕師傅指導下，學習雕刻技巧。完成小型石雕作品。,2024-06-28,台中,default.png,"History,Business",700,adult,3.5hr,group,indoor,文化探索官方,#
森林浴,在森林中放鬆身心,由森林療癒師帶領，進行森林浴活動。學習正念呼吸和放鬆技巧。,2024-07-02,台北,default.png,"Ecology,Religion",400,adult,3hr,group,outdoor,文化探索官方,#
漆器工藝,認識傳統漆器藝術,學習漆器的製作過程和技法。體驗漆器彩繪或修復。,2024-07-05,台北,default.png,"History,Business",650,"senior,adult",3hr,group,indoor,文化探索官方,#
賞鯨之旅,出海尋找鯨豚的蹤影,搭乘賞鯨船出海，觀察鯨豚生態。由海洋專家解說鯨豚知識。,2024-07-08,台南,default.png,Ecology,800,"elementary,junior,senior,adult",4hr,scheduled,outdoor,文化探索官方,#
刺繡工藝,學習精緻的刺繡技藝,在刺繡老師指導下，學習各種針法。完成刺繡作品。,2024-07-12,台北,default.png,"Literature,History",450,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
溪流生態,探索溪流的生態環境,由生態專家帶領，觀察溪流生物。了解水質保護的重要性。,2024-07-15,台北,default.png,Ecology,350,"elementary,junior,senior,adult",3hr,scheduled,outdoor,文化探索官方,#
銀飾製作,打造專屬的銀飾品,學習銀飾製作技巧。設計並製作戒指、項鍊等銀飾。,2024-07-18,台北,default.png,Business,800,adult,3hr,group,indoor,文化探索官方,#
蕨類觀察,認識台灣的蕨類植物,由植物專家帶領，探訪蕨類豐富的森林。學習蕨類辨識。,2024-07-20,台北,default.png,Ecology,280,"junior,senior,adult",2.5hr,scheduled,outdoor,文化探索官方,#
琺瑯工藝,學習琺瑯彩繪技術,在工藝師指導下，學習琺瑯上色和燒製。製作琺瑯飾品。,2024-07-22,台北,default.png,Business,680,"senior,adult",3hr,group,indoor,文化探索官方,#
夜間生態,探索夜晚的自然世界,由生態專家帶領，觀察夜行性動物。了解夜間生態的特色。,2024-07-25,台北,default.png,Ecology,380,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
馬賽克拼貼,創作繽紛的馬賽克藝術,學習馬賽克拼貼技巧。製作馬賽克裝飾品或壁畫。,2024-07-28,台北,default.png,"Literature,Business",520,"junior,senior,adult",3hr,group,indoor,文化探索官方,#
昆蟲觀察,認識各種昆蟲的生態,由昆蟲專家帶領，觀察各種昆蟲。學習昆蟲辨識和生態知識。,2024-08-01,台北,default.png,Ecology,300,"elementary,junior,senior,adult",2.5hr,scheduled,outdoor,文化探索官方,#
押花藝術,製作美麗的押花作品,學習押花技巧和保存方法。製作押花卡片或裝飾品。,2024-08-05,台北,default.png,"Literature,Ecology",380,"junior,senior,adult",2hr,group,indoor,文化探索官方,#
地景藝術,欣賞大地的藝術創作,參訪地景藝術作品，了解創作理念。由藝術家現場導覽。,2024-08-08,台北,default.png,"Literature,Ecology",320,"junior,senior,adult",2.5hr,scheduled,outdoor,文化探索官方,#
蠟染工藝,學習傳統蠟染技術,使用蠟染技法，創作獨特的染布作品。了解蠟染的歷史和文化。,2024-08-12,台中,default.png,"History,Business",480,"junior,senior,adult",3hr,group,indoor,文化探索官方,#
潮間帶探索,發現海岸的生命力,在退潮時探索潮間帶，觀察各種海洋生物。學習海洋保育知識。,2024-08-15,台北,default.png,Ecology,350,"elementary,junior,senior,adult",3hr,scheduled,outdoor,文化探索官方,#
紙藝創作,學習立體紙藝技巧,在紙藝老師指導下，學習紙雕和立體卡片製作。完成紙藝作品。,2024-08-18,台北,default.png,"Literature,Business",420,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
野菇觀察,認識森林中的菇類,由菇類專家帶領，觀察各種野生菇類。學習菇類辨識和生態。,2024-08-20,台北,default.png,Ecology,380,"senior,adult",3hr,scheduled,outdoor,文化探索官方,#
琉璃珠製作,體驗原住民琉璃珠工藝,學習琉璃珠的製作技巧。了解琉璃珠的文化意義。,2024-08-22,台北,default.png,"History,Business",650,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
蝙蝠觀察,認識夜行性的蝙蝠,在黃昏時分觀察蝙蝠出洞。由專家解說蝙蝠的生態和習性。,2024-08-25,台北,default.png,Ecology,280,"elementary,junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
羊毛氈手作,製作可愛的羊毛氈作品,學習羊毛氈戳刺技巧。製作羊毛氈玩偶或飾品。,2024-08-28,台北,default.png,Business,450,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
兩棲爬蟲觀察,認識青蛙和蜥蜴,由爬蟲專家帶領，觀察各種兩棲爬蟲類。學習生態保育知識。,2024-09-01,台北,default.png,Ecology,320,"elementary,junior,senior,adult",2.5hr,scheduled,outdoor,文化探索官方,#
水彩寫生,用畫筆記錄城市之美,由畫家帶領，前往風景優美的地點寫生。學習水彩技巧。,2024-09-05,台北,default.png,Literature,480,"senior,adult",3hr,group,outdoor,文化探索官方,#
種子盆栽,製作療癒的種子盆栽,學習種子盆栽的栽培技巧。製作多肉植物或小型盆栽。,2024-09-08,台北,default.png,Ecology,350,"elementary,junior,senior,adult",2hr,group,indoor,文化探索官方,#
岩石辨識,認識各種岩石礦物,由地質專家帶領，學習岩石辨識。了解岩石的形成和特性。,2024-09-12,台北,default.png,"Ecology,History",300,"junior,senior,adult",2.5hr,scheduled,outdoor,文化探索官方,#
手工皂製作,學習天然手工皂配方,學習手工皂的製作過程。調配香氛，製作專屬手工皂。,2024-09-15,台北,default.png,Business,420,"junior,senior,adult",2hr,group,indoor,文化探索官方,#
溪谷探險,挑戰刺激的溯溪活動,由專業教練帶領，體驗溯溪的樂趣。欣賞溪谷美景。,2024-09-18,台北,default.png,Ecology,850,adult,4hr,group,outdoor,文化探索官方,#
篆刻藝術,學習傳統篆刻技藝,在篆刻家指導下，學習刻印技巧。完成個人印章作品。,2024-09-20,台北,default.png,"Literature,History",520,"senior,adult",3hr,group,indoor,文化探索官方,#
蕨類生態,深入認識蕨類世界,參訪蕨類植物園，了解蕨類的演化和生態。觀察孢子繁殖。,2024-09-22,台北,default.png,Ecology,280,"junior,senior,adult",2hr,scheduled,outdoor,文化探索官方,#
香氛蠟燭,製作天然香氛蠟燭,學習蠟燭製作技巧。調配精油香氛，製作專屬蠟燭。,2024-09-25,台北,default.png,Business,480,"junior,senior,adult",2hr,group,indoor,文化探索官方,#
攀岩體驗,挑戰垂直的岩壁,在專業教練指導下，學習攀岩技巧。體驗攀岩的刺激感。,2024-09-28,台北,default.png,Ecology,650,"senior,adult",3hr,group,outdoor,文化探索官方,#
水墨畫體驗,學習傳統水墨畫技法,在畫家指導下，學習水墨畫的基本技巧。完成水墨畫作品。,2024-10-02,台北,default.png,"Literature,History",450,"senior,adult",2.5hr,group,indoor,文化探索官方,#
植物標本,製作植物標本,學習植物標本的採集和製作方法。完成植物標本冊。,2024-10-05,台北,default.png,Ecology,320,"junior,senior,adult",2.5hr,group,indoor,文化探索官方,#
繩結工藝,學習實用的繩結技巧,學習各種繩結的打法和用途。製作繩結裝飾品。,2024-10-08,台北,default.png,Business,280,"junior,senior,adult",2hr,group,indoor,文化探索官方,#
獨木舟體驗,划著獨木舟探索水域,在教練指導下，學習獨木舟操作技巧。欣賞水岸風光。,2024-10-12,台北,default.png,Ecology,550,"senior,adult",3hr,group,outdoor,文化探索官方,#
油畫創作,體驗油畫的魅力,在畫家指導下，學習油畫技巧。完成個人油畫作品。,2024-10-15,台北,default.png,Literature,680,adult,3.5hr,group,indoor,文化探索官方,#
苔蘚微景觀,製作療癒的苔蘚盆景,學習苔蘚的養護知識。製作苔蘚微景觀作品。,2024-10-18,台北,default.png,Ecology,420,"elementary,junior,senior,adult",2hr,group,indoor,文化探索官方,#
繩索垂降,體驗刺激的垂降活動,在專業教練指導下，學習垂降技巧。挑戰高空垂降。,2024-10-20,台北,default.png,Ecology,750,adult,3hr,group,outdoor,文化探索官方,#
素描基礎,學習素描的基本功,由畫家教授素描技巧。練習靜物和人物素描。,2024-10-22,台北,default.png,Literature,380,"senior,adult",2.5hr,group,indoor,文化探索官方,#
多肉植物組盆,打造可愛的多肉花園,學習多肉植物的種植和養護。組合多肉植物盆栽。,2024-10-25,台北,default.png,Ecology,380,"elementary,junior,senior,adult",2hr,group,indoor,文化探索官方,#
高空繩索,挑戰高空繩索課程,在安全裝備保護下，挑戰各種高空關卡。訓練平衡和勇氣。,2024-10-28,台北,default.png,Ecology,680,"senior,adult",3hr,group,outdoor,文化探索官方,#
